id;NameAr;nameEn;cityId;neCoordinates;swCoordinates;;
28;المنهل;al manhal;15; '18.23004686;42.52403780';; 
29;النصب;an nasb;15; '18.22519281;42.51503934';; 
30;وسط المدينة;down town;15; '18.22160324;42.50440063';; 
31;النزهة;an nuzhah;15; '18.21795259;42.51796121';; 
32;ذرة;dhurah;15; '18.21188547;42.51561144';; 
33;شمسان;shamsan;15; '18.23369174;42.51678644';; 
34;القرى;al qura;15; '18.25426556;42.50240189';; 
35;الوردتين;al wardatain;15; '18.23223460;42.50244385';; 
36;الربوة;ar rabwah;15; '18.21889858;42.53696128';; 
37;النسيم;an nasim;15; '18.21328719;42.55222321';; 
38;الاندلس;al andalus;15; '18.21984653;42.52349232';; 
39;ابهاء الجديدة;abha al jadidah;15; '18.22786508;42.49171731';; 
40;الضباب;ad dabab;15; '18.20407583;42.52206092';; 
41;الوصايف;al wasaif;15; '18.24023777;42.49267103';; 
42;الشرفية;ash sharafiyah;15; '18.25546378;42.53665120';; 
43;العزيزية;al aziziyah;15; '18.21376418;42.50393142';; 
44;الشفاء;ash shifa;15; '18.21260073;42.50596451';; 
45;المفتاحة;al muftahah;15; '18.21491241;42.49972401';; 
46;السروات;as sarawat;15; '18.20693414;42.50100091';; 
47;المروج;al muruj;15; '18.23604134;42.57499211';; 
48;السد;as sad;15; '18.22107497;42.49938834';; 
49;الخشع;al khasha;15; '18.21655457;42.51094253';; 
50;القابل;al qabil;15; '18.22738621;42.50091421';; 
51;الفيصلية;al faisaliyah;15; '18.22543889;42.49784728';; 
52;الخالدية;al khalidiyah;15; '18.23523113;42.49009621';; 
53;العرين;al arin;15; '18.24751582;42.56464345';; 
56;الواحة;al wahah;62; '18.33987171;42.70444914';; 
57;السد;as sad;62; '18.29952460;42.72643129';; 
58;الجزيرة;al jazirah;62; '18.31792436;42.73113704';; 
59;طيب الاسم;tayib al ism;62; '18.32607417;42.71145594';; 
60;الزهور;az zuhur;62; '18.30215695;42.74100924';; 
61;الروضة;ar rawdah;62; '18.30123611;42.73089355';; 
62;المنتزه;al muntazah;62; '18.30641215;42.72705845';; 
63;الخالدية;al khalidiyah;65; '18.17614207;42.83898959';; 
64;ضمك;damak;62; '18.29297364;42.73317567';; 
65;الخزان;al khazan;62; '18.30006296;42.72779494';; 
66;الخالدية;al khalidiyah;62; '18.30605430;42.73118007';; 
67;الزيتون;az zaytun;65; '18.18695201;42.86194707';; 
68;العزيزية;al aziziyah;65; '18.18438471;42.82908453';; 
69;السلامة;as salamah;65; '18.20681091;42.84041054';; 
70;النهضة;an nahdah;65; '18.19186073;42.85443983';; 
71;وسط البلد;down town;65; '18.18315024;42.84775223';; 
72;الورود;al wurud;65; '18.17549833;42.86147182';; 
73;الزهور;az zuhur;65; '18.15642543;42.84872286';; 
74;الفتح;al fath;62; '18.33153475;42.74539809';; 
75;النهضة;an nahdah;62; '18.33139046;42.74976572';; 
76;شباعة;shubaah;62; '18.32408259;42.73589064';; 
77;المعزاب;al mizab;62; '18.31804878;42.71922948';; 
78;المثناة;al mathnah;62; '18.30142748;42.73766876';; 
79;المعمورة;al mamurah;62; '18.33146905;42.73436825';; 
80;النسيم;an nasim;62; '18.29988978;42.76887762';; 
81;شكر;shakar;62; '18.29404393;42.75630701';; 
